Timestamp,Region,Country,Channel Name,Logo,Channel Page,Satellite,Position,Frequency,System,SRFEC,Encryption,Packages,Lang.,BeamEIRP (dBW),Source,error,Empty 0
"20150102195325","Pacific","Timor Leste","TV Timor Leste","http://web.archive.org/web/20141217093842/http://www.lyngsat-logo.com/tvchannel/tl/TV-Timor-Leste.html","http://web.archive.org/web/20141217093842/http://www.lyngsat.com/tvchannels/tl/TV-Timor-Leste.html","Telkom 1","108.0�E","3776 H","DVB-S MPEG-2","4280 3/4","","","Tet","Indonesia","Hollowman 130326","",""
"20150102195325","Pacific","Wallis and Futuna Islands","Wallis et Futuna 1�re","http://web.archive.org/web/20141219221955/http://www.lyngsat-logo.com/tv/r_1.html","http://web.archive.org/web/20141219221955/http://www.lyngsat.com/tvchannels/fr/Wallis-et-Futuna-1ere.html","NSS 9, Intelsat 18","177.0�W, 180.0�E","3922 R, 11155 H","DVB-S2 MPEG-4, DVB-S2 8PSK MPEG-4","2895, 28588 5/6","Mediaguard Viaccess","","F, F","West hemi 0, South Pacific H","P Vialatoux 070822, Anonymous 131005","",""
"20150102195325","Pacific","Papua New Guinea","Kundu 2","http://web.archive.org/web/20141219082006/http://www.lyngsat-logo.com/tvchannel/pg/Kundu-2.html","http://web.archive.org/web/20141219082006/http://www.lyngsat.com/tvchannels/pg/Kundu-2.html","Intelsat 19","166.0�E","3784 V","DVB-S2 8PSK MPEG-4","1464 3/5","","","","West hemi","T Kameda 140628","",""
"20150102195325","Pacific","New Zealand","Choice TV","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tvchannel/nz/Choice-TV.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Choice-TV.html","Optus D1","160.0�E","12456 H","DVB-S MPEG-2","22500 3/4","","","E","NZB","Anonymous 130421","",""
"20150102195325","Pacific","New Zealand","Cue TV","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tv/c_1.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Cue-TV.html","Optus D1","160.0�E","12456 H","DVB-S MPEG-2","22500 3/4","","","E","NZB","S Ellis 071204","",""
"20150102195325","Pacific","New Zealand","Edge TV","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tvchannel/nz/The-Edge-TV.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Edge-TV.html","Optus D1","160.0�E","12644 H","DVB-S MPEG-2","22500 3/4","","","E","NZB","Anonymous 140721","",""
"20150102195325","Pacific","New Zealand","Four","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tvchannel/nz/Four.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Four.html","Optus D1","160.0�E","12456 H","DVB-S MPEG-2","22500 3/4","","","E","NZB","L Williams 121009","",""
"20150102195325","Pacific","New Zealand","Four +1","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tvchannel/nz/Four--1.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Four--1.html","Optus D1","160.0�E","12644 H","DVB-S MPEG-2","22500 3/4","","","E","NZB","Anonymous 140721","",""
"20150102195325","Pacific","New Zealand","Maori TV","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tvchannel/nz/Maori-TV.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Maori-TV.html","Optus D1","160.0�E","12483 H","DVB-S MPEG-2","22500 3/4","","","","NZB","S Ellis 071204","",""
"20150102195325","Pacific","New Zealand","Parliament TV","http://web.archive.org/web/20141219081808/http://www.lyngsat-logo.com/tv/p_1.html","http://web.archive.org/web/20141219081808/http://www.lyngsat.com/tvchannels/nz/Parliament-TV.html","","","","","","","","","","","",""
